ano,semestre,numero_questao,texto,principal,secundarias,pagina
2016,sem1,Questão 11,"Questão 11 O gráfico apresenta os valores médios dos preços de terras agrícolas da cidade de Andradina (SP), no período de
2004 a 2014, de acordo com o Instituto de Economia Agrícola (IEA).
Fonte dos dados: <http://tinyurl.com/p46lwz7> Acesso em: 23.08.2015
Com base no gráfi co, pode-se afi rmar corretamente que,
(A) em 2010, por hectare, a diferença entre o valor médio da terra de cultura de segunda e o valor da terra para pastagem
foi maior que R$ 2.000,00.
(B) em 2011, por 10 hectares de terra para pastagem, se pagava, em média, cerca de R$ 120.500,00.
(C) em 2013, por hectare, o valor médio da terra de cultura de segunda era maior que o valor médio da terra para
pastagem.
(D) em cada ano do período de 2004 a 2014, o valor médio da terra de cultura de primeira por hectare não ultrapassou
R$ 20.000,00.
(E) em cada ano do período de 2012 a 2014, os quatro tipos de terras tinham valor médio por hectare maior que
R$ 10.000,00.",Gráficos e tabelas,Interpretação de texto,4
2016,sem1,Questão 12,"Questão 12 Suponha que uma semeadeira é arrastada sobre o solo com velocidade constante de 4 km/h, depositando um único grão
de milho e o adubo necessário a cada 20 cm de distância.
Após a semeadeira ter trabalhado por 15 minutos, o número de grãos de milho plantados será de, aproximadamente,
(A) 1 200.
(B) 2 400.
(C) 3 800.
(D) 5 000.
(E) 7 500.",Velocidade média,Regra de três,4
2016,sem1,Questão 13,"Questão 13 A colonização do norte do Paraná ocorreu principalmente pela expansão da cafeicultura. Para que essa ocupação ocorresse,
um dos fatores decisivos foi a presença de um solo muito fértil denominado
(A) terra roxa, de cor vermelha.
(B) salmourão, de cor amarela.
(C) massapé, de cor marrom.
(D) tchernozion, de cor preta.
(E) calcário, de cor branca.",Recursos minerais,Momentos históricos nacionais,5
2016,sem1,Questão 14,"Questão 14 Sobre o texto, é correto o que se afi rma em:
(A) Os fertilizantes só podem ser utilizados na forma sólida.
(B) A ureia pode ser utilizada como um fertilizante nitrogenado.
(C) A farinha de ossos pode ser utilizada como um fertilizante potássico.
(D) A escória básica apresenta em sua constituição o elemento carbono.
(E) Os fertilizantes potássicos apresentam em sua constituição o elemento sódio.",Substâncias e misturas,Nenhum,6
2016,sem1,Questão 15,"Questão 15 Analisando os compostos mais utilizados como fertilizantes fosfatados, os elementos químicos que estão presentes em
todos eles são
(A) cálcio e fósforo.
(B) fósforo e oxigênio.
(C) fósforo e hidrogênio.
(D) silício e nitrogênio.
(E) cálcio e oxigênio.",Elementos,Fórmulas químicas,6
2016,sem1,Questão 16,"Questão 16 Os sais podem ser obtidos por uma reação de neutralização (ácido + base sal + água). Por exemplo, obtém-se o cloreto
de sódio ao reagirmos ácido clorídrico com hidróxido de sódio:
HCl + NaOH  NaCl + HO
2
Portanto, para obtermos o sal usado como fertilizante potássico, KCl, mencionado na tabela, devemos utilizar a base
(A) ácido sulfúrico.
(B) ácido clorídrico.
(C) óxido de sódio.
(D) hidróxido de sódio.
(E) hidróxido de potássio.",Reações químicas,Fórmulas químicas,6
2016,sem1,Questão 17,"Questão 17 O conhecimento científi co tem auxiliado a agricultura em sua busca por melhor produtividade e, por esse motivo,
são pesquisadas muitas características físicas do solo úmido, como sua capacidade de conduzir eletricidade, uma
característica física que está associada
(A) à resistência elétrica do solo.
(B) à potência elétrica do solo.
(C) à energia elétrica do solo.
(D) à tensão elétrica do solo.
(E) ao magnetismo do solo.",Conceito,Nenhum,6
2016,sem1,Questão 18,"Questão 18 Há muitas comunidades quilombolas, formadas no passado por africanos e afro-brasileiros, que atualmente são habitadas
por seus descendentes em diversas partes do Brasil. No Vale do Ribeira, no sul do estado de São Paulo, onde se localizam
algumas dessas comunidades, está uma das áreas mais preservadas da Mata Atlântica. Nessa região, diversos moradores
dos chamados “remanescentes de quilombos” se especializaram no manejo adequado do solo e dos recursos naturais,
sendo que em algumas dessas comunidades se desenvolveu o cultivo de banana orgânica.
Em relação a essas comunidades, é correto afi rmar que
(A) sua existência se restringe à região do Vale do Ribeira, onde esses povos indígenas se instalaram e se mantêm até hoje.
(B) os africanos, no período da escravidão, podiam comprar livremente grandes porções de terra no país, criando assim
fazendas chamadas de quilombos.
(C) os africanos escravizados no Brasil eram reunidos em quilombos, de onde eram recrutados para o trabalho nas
lavouras dos grandes proprietários de terras.
(D) sua formação se deu no período da escravidão, quando africanos e afro-brasileiros, tanto fugitivos quanto libertos do
regime de trabalho escravista, fundaram quilombos.
(E) sua atividade agrícola causa sérios riscos à preservação do meio ambiente, uma vez que, como ocorre no Vale do
Ribeira, não manejam de forma adequada o solo de seus latifúndios.",Sociedades indígenas no Brasil,Nenhum,7
2016,sem1,Questão 19,"Questão 19 Todos aqueles que tiveram oportunidade de lidar com imóveis rurais se depararam com uma unidade de medida
de terras denominada alqueire, o que usualmente vem seguido de uma dúvida: será o alqueire mineiro, com seus
4,84 ha, o paulista, equivalente a 2,42 ha, ou até mesmo o chamado alqueirão, com 19,36 ha?
<http://tinyurl.com/nk237dd> Acesso em: 15.08.2015.
O Sr. João tem terras produtivas e sabe que pode colher 48 sacas de soja por hectare de plantação. Em sua fazenda,
ele plantou 5 alqueires paulistas de soja.
Assim sendo, o número de sacas que o Sr. João espera colher é mais próximo de
(A) 250.
(B) 580.
(C) 840.
(D) 1 160.
(E) 4 640.",Regra de três,Sistemas de medida,7
2016,sem1,Questão 20,"Questão 20 Leia um trecho do poema de Cora Coralina.
A palavra destacada, nesse fragmento, morfologicamente,
Se temos de esperar, classifi ca-se como um
que seja para colher a semente boa
(A) artigo defi nido, pois determina o substantivo.
que lançamos hoje no solo da vida. (...)
(B) artigo indefi nido, pois indetermina o substantivo.
<http://tinyurl.com/pts55ky> Acesso em: 20.08.2015.
(C) advérbio, pois atribui uma circunstância ao verbo.
(D) pronome pessoal, pois designa a pessoa do discurso.
(E) pronome relativo, pois refere-se a um termo anterior.",Gênero e tipologia textual,Nenhum,7
2016,sem1,Questão 21,"Questão 21 A criação de área de preservação permanente e reservas legais são medidas importantes de proteção ambiental para a
conservação do solo e da água, elementos essenciais para a vida na Terra.
Uma fazenda apresenta as seguintes características:
• área total: 80 ha;
• área para lavoura: 28 ha;
• área para plantação de eucalipto: 15 ha;
• área ocupada por benfeitoria/desmatada: 12 ha;
• a área restante é destinada à preservação ambiental/
reserva legal.
Se a região destinada à preservação ambiental/reserva legal dessa fazenda tem forma retangular, as dimensões desse
retângulo podem ser
(A) 50 m x 50 m.
Lembre-se de que:
(B) 50 m x 500 m.
• 1 are (a) equivale a 100 m2
(C) 500 m x 500 m. • 1 hectare (ha) equivale a 100 a
(D) 500 m x 5 000 m.
(E) 5 000 m x 5 000 m.",Área e perímetro,Nenhum,8
2016,sem1,Questão 22,"Questão 22 Entre os organismos vivos encontrados no solo, alguns são microscópicos, como as
bactérias, os protozoários e os fungos, que se alimentam de restos de vegetais ou de
animais. Outros são animais de pequeno porte, como as formigas, as minhocas, os besouros,
as centopeias e os cupins que, entre outras coisas, fazem parte da biodiversidade do solo.
Já os animais maiores, como os coelhos, os ratos, as toupeiras, os lagartos e as cobras
vivem em tocas ou cavam túneis para se esconderem e criarem seus fi lhotes.
Em certas situações, na agricultura ou na jardinagem, alguns animais de pequeno porte,
como os pulgões, lesmas e caracóis são considerados muito prejudiciais aos vegetais.
Sobre os organismos citados no texto, é correto afi rmar que
(A) os animais maiores são vertebrados herbívoros, que se adaptam facilmente às condições do solo.
(B) as lesmas e os caracóis são animais artrópodes, considerados prejudiciais, porque transmitem doenças.
(C) os animais de pequeno porte são socialmente organizados e parasitam outros seres vivos encontrados no solo.
(D) os pulgões são pequenos insetos, considerados prejudiciais, porque se alimentam sugando a seiva das plantas.
(E) os seres vivos microscópicos são pluricelulares e atuam na produção da matéria orgânica necessária à fertilidade
do solo.
VESTIBULINHO 1o SEM/2016 • Etec 9",Vida animal,Cadeia alimentar,8
2016,sem1,Questão 23,"Questão 23 Em 2011, a Prefeitura de São Paulo identifi cou mais de duzentos terrenos contaminados na cidade, o que
representa riscos à saúde e ao meio ambiente. Os imóveis com as maiores taxas de concentração tóxica no
solo estão nos bairros que, no passado, tiveram uso industrial signifi cativo: esse é o caso do distrito da Mooca,
o campeão, com dezoito áreas contaminadas. Depois, vêm dois distritos na zona sul – Campo Grande, com
dezessete e Santo Amaro, com onze. Também aparecem em destaque bairros da zona oeste, como a Vila
Leopoldina, com dez, e a Barra Funda, com sete terrenos contaminados.
<http://tinyurl.com/p6zusx6> Acesso em: 28.08.2015. Adaptado.
De acordo com o texto, é correto afi rmar que
(A) o distrito da Mooca, onde está o maior número de terrenos contaminados na cidade de São Paulo, teve relevante
atividade industrial no passado.
(B) os riscos à saúde e ao meio ambiente foram eliminados, após o novo uso dado aos terrenos industriais, como a criação
de parques e áreas de lazer.
(C) a cidade de São Paulo, hoje com atividade industrial de pouca relevância, está procurando descontaminar os solos
para recuperar essa atividade.
(D) bairros de uso predominantemente industrial no passado não apresentam índices signifi cativos de contaminação do
solo no presente.
(E) os solos dos bairros de Santo Amaro, Barra Funda e Vila Leopoldina, na zona sul da capital, foram mais contaminados
pela atividade industrial do que os da Mooca.",Interpretação de texto,Meio ambiente,9
2016,sem1,Questão 24,"Questão 24 O ser humano pode conseguir muitos benefícios por meio do solo, mas também pode contrair vários tipos de doenças,
se o solo estiver contaminado. Entre essas doenças, destacam-se as verminoses, causadas por diferentes vermes parasitas
que se instalam no organismo do hospedeiro. Uma das verminoses mais comuns em todo o mundo é a ascaridíase, doença
causada pelo verme Ascaris lumbricoides, conhecido popularmente como lombriga.
Para prevenir a contaminação do organismo humano por esse verme, é importante
(A) vacinar anualmente as crianças e os adultos.
(B) evitar regiões com focos de pernilongos transmissores.
(C) lavar bem as mãos e os alimentos, antes das refeições.
(D) evitar comer carne de porco ou de boi mal passada ou crua.
(E) andar sempre calçado, para impedir a penetração das larvas através da pele.",Doenças,Nenhum,9
2016,sem1,Questão 25,"Questão 25 O aumento da acidez do solo pode ser provocado pela chuva ácida, na qual alguns compostos são transformados em
ácidos, como dióxido de enxofre:
SO + ½ O  SO
2 2 3
SO + H O  H SO
3 2 2 4
No processo, observa-se a presença exatamente de
(A) uma substância simples.
(B) duas substâncias simples.
(C) cinco substâncias simples.
(D) cinco substâncias compostas.
(E) seis substâncias compostas.
10 VESTIBULINHO 1o SEM/2016 • Etec",Reações químicas,Substâncias e misturas,9
2016,sem1,Questão 26,"Questão 26 De acordo com o texto, podemos afi rmar que
(A) os lençóis freáticos são os responsáveis pela seca das nascentes.
(B) o excesso de água nos rios e lagos prejudica o lençol freático, causando a erosão.
(C) as margens de rios e lagos solapam por causa dos lixos orgânicos neles despejados.
(D) as reduções das infi ltrações da água no solo evitam que a poluição alcance os mananciais.
(E) as matas ciliares atuam na preservação de nascentes, das margens dos rios e de mananciais.",Interpretação de texto,Meio ambiente,10
2016,sem1,Questão 27,"Questão 27 Na primeira frase do texto, a preposição para, na oração destacada, foi empregada com valor semântico de _________,
como ocorre nesta oração: Todos os condôminos se empenham para custear a instalação de um sistema de captação de
água pluvial no prédio.
Para que a afi rmação seja correta, a lacuna do texto deve ser preenchida por
(A) fi nalidade
(B) conclusão
(C) explicação
(D) concessão
(E) proporcionalidade",Gênero e tipologia textual,Nenhum,10
2016,sem1,Questão 28,"Questão 28 A desertifi cação é o maior problema que afeta os solos na região do
semiárido brasileiro. Em todo o Brasil, são quase 1 500 municípios
afetados por essa degradação ambiental, que é causada
(A) pelo manejo inadequado dos recursos naturais pelos seres
humanos.
(B) por resquícios de ciclones extratropicais oriundos do oceano
Atlântico.
(C) pela ação das placas tectônicas em processo de dobramento.
(D) por um processo natural provocado por elementos microbianos.
(E) pela atuação das monções sobre o nordeste brasileiro.
Área desertifi cada em Gilbués/PI
<http://tinyurl.com/p6276xj> Acesso em: 04.08.2015. Original colorido.
VESTIBULINHO 1o SEM/2016 • Etec 11",Meio ambiente,Nenhum,10
2016,sem1,Questão 29,"Segundo um pesquisador da Empresa
Brasileira de Pesquisa Agropecuária
(EMBRAPA), a maioria das terras
suscetíveis à desertifi cação no Brasil
encontra-se nas áreas semiáridas e
subúmidas do Nordeste. A quantifi cação
dessas áreas mostra que cerca de
181  000 km2
 encontram-se em processo
de desertifi cação, o que corresponde a
20% da área semiárida da região Nordeste,
aproximadamente.
<http://tinyurl.com/patnldo> Acesso em: 26.07.2015. Adaptado.
De acordo com o texto, a área da região semiárida
do Nordeste é, aproximadamente, em quilômetros
quadrados,
(A) 181 000.
(B) 217 200
(C) 362 000.
(D) 582 400.
(E) 905 000",Porcentagem,Nenhum,11
2016,sem1,Questão 31,"Questão 31 A erosão é o processo de desgaste, transporte e
sedimentação das rochas e, principalmente, dos solos.
Ela pode ocorrer por ação de fenômenos da natureza ou
do ser humano.
A imagem mostra uma fenda no solo, proveniente de
erosão.
Para determinar a distância entre os pontos A e B da fenda,
pode-se utilizar o modelo matemático da fi gura.
Na fi gura, tem-se:
• os triângulos AFC e EFD ;
• o ponto E pertencente ao segmento AF ;
• o ponto D pertencente ao segmento CF ;
• os pontos C, D e F pertencentes ao terreno plano que
margeia a borda da fenda; e
• as retas AC e ED que são paralelas entre si.
Sabendo-se que BC = 5 m, CD = 3 m, DF = 2 m e ED = 4,5 m,
então, a distância entre os pontos A e B é, em metros,
(A) 6,25.
(B) 6,50.
(C) 6,75.
(D) 7,25.
(E) 7,75.",Regra de três,Nenhum,11
2016,sem1,Questão 30,"Apenas 11% dos solos terrestres são agricultáveis e
até mesmo esse pequeno espaço é constantemente
agredido com o uso de práticas nocivas. De acordo com a
Organização das Nações Unidas (ONU), aproximadamente
75 milhões de toneladas de solos férteis se perdem
todos os anos no mundo. Essas perdas acontecem
fundamentalmente pela ação dos processos erosivos, que
agem de três formas distintas.
Assinale a alternativa que apresenta a sequência correta
da ação dos processos erosivos.
(A) Transporte, desagregação e deposição.
(B) Deposição, transporte e desagregação.
(C) Transporte, deposição e desagregação.
(D) Deposição, desagregação e transporte.
(E) Desagregação, transporte e deposição.",Meio ambiente,Nenhum,11
2016,sem1,Questão 32,"Questão 32 O Sistema Brasileiro de Classificação de Solos define o solo da Caatinga como pouco profundo, pedregoso, rico em minerais,
mas pobre em matéria orgânica e que dificilmente armazena as águas das chuvas. Os afloramentos rochosos existentes
se tornam uma característica comum na Caatinga que, associada aos solos rasos, propicia as condições ideais para a
vegetação, que cresce nas pedras, em fissuras ou em depressões onde há acúmulo de areia, pedregulhos e outros detritos.
A vegetação típica encontrada no solo descrito caracteriza-se por apresentar
(A) raízes superficiais para facilitar a sua fixação.
(B) folhas grandes e membranáceas para facilitar a realização da fotossíntese.
(C) raízes respiratórias denominadas pneumatóforos para obtenção do gás oxigênio.
(D) folhas pequenas e modificadas em espinhos para evitar a transpiração excessiva.
(E) árvores altas, com folhas grandes, sempre verdes e com extremidades afiladas em goteira.",Biomas,Nenhum,12
2016,sem1,Questão 33,"Questão 33 Você sabia que o nome do rio Tietê significa, em língua Tupi, “água verdadeira”? Esse rio tinha grande importância, mesmo
antes da chegada dos colonizadores, para todos os que viviam perto dele, uma vez que suas águas fertilizavam o solo das
suas margens, após as cheias, ajudando a trazer boas colheitas e fartura às comunidades próximas.
Sobre o papel desse rio na história brasileira, é correto afirmar que ele
(A) foi fundamental para a penetração no interior do continente, permitindo, inclusive, chegar até a região de Cuiabá, nos
séculos XVIII e XIX.
(B) demarcou a divisão das terras do continente entre espanhóis e portugueses, de acordo com o Tratado de Tordesilhas,
no século XV.
(C) garantiu a permanência dos povos indígenas às suas margens até o presente, isolando-os do contato com
o colonizador europeu.
(D) permitiu, ao longo de seu curso, a formação de povoados portugueses, desde o início da colonização, nos séculos
XIV e XV.
(E) viabilizou o desenvolvimento urbano e industrial da atual cidade de São Paulo, fundada em suas margens,
no século XIX.",Momentos históricos nacionais,Nenhum,12
2016,sem1,Questão 34,"Questão 34 Na cidade de São Paulo, no início do século XX, a prática do futebol começa a se espalhar entre os trabalhadores.
Nos finais de semana, era comum o encontro de pessoas para jogarem futebol, nas áreas de várzea. Daí, surge a expressão
“futebol de várzea”, bem antes do esporte se tornar profissional.
A área conhecida como várzea significa
(A) superfície elevada e irregular, com muitas ondulações, entalhada por planaltos encaixados.
(B) área aplainada nas margens dos rios que passa por alagamentos periódicos.
(C) pequenas ruas de terra exposta, localizadas nas periferias das cidades.
(D) topo plano de pequenas colinas, circundado por declives suaves.
(E) grandes áreas descampadas encontradas no alto dos morros.
VESTIBULINHO 1o SEM/2016 • Etec 13",Interpretação de texto,Nenhum,12
2016,sem1,Questão 35,"Questão 35 Leia um trecho do conto “O mata-pau”, de Monteiro Lobato, em que o narrador, em visita, pela primeira vez, à Serra do
Palmital, pede ao capataz da fazenda que lhe explique o que é mata-pau.
– Onde? Perguntei, tonto.
– Aquele fi apinho de planta, ali no gancho daquele cedro, continuou o cicerone, apontando uma
parasita mesquinha grudada na forquilha de um galho, com dois fi lamentos escorridos para o solo.
Começa assinzinho, bota pra baixo esse fi o de barbante na tenção de pegar a terra. E vai indo, sempre
naquilo, nem pra mais nem pra menos, até que o fi o alcança o chão. E vai então o fi o vira raiz e pega
a beber a substância da terra. A parasita cria fôlego e cresce que nem embaúba. O barbantinho
engrossa todo dia, passa a cordel, passa a corda, passa a pau de caibro e acaba virando tronco de
árvore e matando a mãe – como este aqui, concluiu, dando com o cabo do relho no meu mata-pau.
(Urupês, editora Brasiliense, 1972. Adaptado)
Vocabulário
tenção: intenção
relho: chicote de couro torcido com cabo de madeira
cicerone: pessoa que mostra ou explica a visitantes ou a turistas
os aspectos importantes ou curiosos de um determinado lugar.
É correto afi rmar que, na fala do capataz, predominam a linguagem
(A) informal e expressões adverbiais/locuções adverbiais de afi rmação.
(B) informal e expressões adverbiais/locuções adverbiais de lugar.
(C) informal e expressões adverbiais/locuções adverbiais de causa.
(D) científi ca/técnica e expressões adverbiais de lugar.
(E) científi ca/técnica e expressões adverbiais de tempo.",Interpretação de texto,Gênero e tipologia textual,13
